"caso_id","llamado_fecha_hora","llamado_region","llamante_edad","llamante_genero","llamante_vinculo","caso_judicializado","hecho_lugar","victima_a_resguardo","victima_edad","victima_genero","victima_nacionalidad","victima_vinculo_agresor","victima_discapacidad","victima_convive_agresor","vs_violacion_via_vaginal","vs_violacion_via_anal","vs_violacion_via_oral","vs_tentativa_violacion","vs_tocamiento_sexual","vs_intento_tocamiento","vs_Intento_violación_tercera_persona","vs_grooming","vs_exhibicionismo","vs_amenazas_verbales_contenido_sexual","vs_explotacion_sexual","vs_explotacion_sexual_comercial","vs_explotacion_sexual_viajes_turismo","vs_sospecha_trata_personas_fines_sexuales","vs_existencia_facilitador_corrupcion_nnya","vs_obligacion_sacarse_fotos_pornograficas","vs_eyaculacion_partes_cuerpo","vs_acoso_sexual","vs_iniciacion_sexual_forzada_inducida","vs_otra_forma_violencia_sexual","vs_no_sabe_no_contesta","ofv_sentimiento_amenaza","ofv_amenaza_explicita","ofv_violencia_fisica","ofv_intento_ahorcar","ofv_intento_quemar","ofv_intento_ahogar","ofv_amenaza_muerte","ofv_uso_sustancias_psicoactivas","ofv_intento_privacion_libertad","ofv_privacion_libertad","ofv_uso_arma_blanca","ofv_uso_arma_fuego","ofv_enganio_seduccion","ofv_intento_matar","ofv_uso_animal_victimizar","ofv_grooming","ofv_otra_forma_violencia","ofv_no_sabe_no_contesta"
"76007","2023-01-01 23:20:00","Metropolitana","45","Masculino","Padre","NO","Vivienda de la Víctima","SI","15","Femenino","Argentina","Abuela","NS/NC","SI","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"76008","2023-01-01 15:30:00","Pampeana","40","Femenino","Familiar","NO","Vivienda de la Víctima","SI","50","Femenino","Argentina","Conocido no familiar (Amigo, vecino, entre otros)","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI"
"76009","2023-01-01 15:00:00","Pampeana","29","Masculino","Padre","NO","NS/NC","SI","7","Masculino","Argentina","Padrastro","NS/NC","SI","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI"
"76010","2023-01-01 19:00:00","Metropolitana","41","Femenino","Madre","NO","Vivienda de la Víctima","SI","13","Femenino","Argentina","Padre","NS/NC","SI","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"76011","2023-01-01 22:25:00","Metropolitana","54","Masculino","Vecina/o","NO","Ámbito educativo","SI","15","Masculino","Argentina","Conocido no familiar (Amigo, vecino, entre otros)","NS/NC","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI"
"76012","2023-01-02 23:30:00","Metropolitana","22","Femenino","Hermana/o","NO","Redes Sociales","SI","15","Femenino","Argentina","Desconocido","NS/NC","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO"
"76013","2023-01-02 09:20:00","Metropolitana","Sin dato","Femenino","Familiar","SI","Vivienda de la Víctima","SI","Sin dato","Femenino","Argentina","Otro familiar","NO","SI","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI"
"76013","2023-01-02 09:20:00","Metropolitana","Sin dato","Femenino","Familiar","SI","Vivienda de la Víctima","SI","Sin dato","Femenino","Argentina","Otro familiar","NO","SI","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI"
"76054","2023-01-05 16:00:00","Metropolitana","43","Femenino","Hermana/o","NO","NS/NC","SI","42","Masculino","Argentina","Hermano","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"76055","2023-01-05 17:05:00","Metropolitana","Sin dato","Femenino","Madre","SI","Ámbito educativo","SI","5","Femenino","Argentina","Conocido no familiar (Amigo, vecino, entre otros)","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI"
